date,support,frequency
2010-01-13,-.03,.0028038022209811
2010-01-13,-.025,.0014432259009288
2010-01-13,-.02,.0022858951909855
2010-01-13,-.015,.0037135488272145
2010-01-13,-.01,.0062218919839427
2010-01-13,-.005,.0109342804819451
2010-01-13,0,.0198915314986828
2010-01-13,.005,.0371361351156531
2010-01-13,.01,.0691715608651613
2010-01-13,.015,.1201721648136393
2010-01-13,.02,.1732570435293019
2010-01-13,.025,.1847634666143902
2010-01-13,.03,.1441646480186937
2010-01-13,.035,.091326899467739
2010-01-13,.04,.0529967321383954
2010-01-13,.045,.0303542633525445
2010-01-13,.05,.017737046104274
2010-01-13,.055,.0106937320240013
2010-01-13,.06,.0066650763230683
2010-01-13,.065,.0042875201453592
2010-01-13,.07,.0099795353830985
2011-01-06,-.03,.0053387959191766
2011-01-06,-.025,.003018180172167
2011-01-06,-.02,.0048593029919827
2011-01-06,-.015,.0079305080650243
2011-01-06,-.01,.0131149792100312
2011-01-06,-.005,.0220104320406889
2011-01-06,0,.0367729863713055
2011-01-06,.005,.0598691527474763
2011-01-06,.01,.0917453346856073
2011-01-06,.015,.1261145080268392
2011-01-06,.02,.1478107672321815
2011-01-06,.025,.1432994871233932
2011-01-06,.03,.1159424678092099
2011-01-06,.035,.0816959352784338
2011-01-06,.04,.0528440472513191
2011-01-06,.045,.0327774313020682
2011-01-06,.05,.0200693404214785
2011-01-06,.055,.0123366841385646
2011-01-06,.06,.007681344295842
2011-01-06,.065,.0048649112070366
2011-01-06,.07,.0099034037101735
2011-02-08,-.03,.0030851460446289
2011-02-08,-.025,.0018909429004417
2011-02-08,-.02,.0031415981885549
2011-02-08,-.015,.0053030482388929
2011-02-08,-.01,.0091031907182098
2011-02-08,-.005,.0159743935707336
2011-02-08,0,.0281453830769447
2011-02-08,.005,.0488612656235488
2011-02-08,.01,.0808311813455949
2011-02-08,.015,.1210176694122493
2011-02-08,.02,.1540144603941279
2011-02-08,.025,.1587648482634406
2011-02-08,.03,.1320577828000446
2011-02-08,.035,.0925818155290893
2011-02-08,.04,.0582771037888118
2011-02-08,.045,.0347894225807054
2011-02-08,.05,.0204256934070906
2011-02-08,.055,.0120417460338628
2011-02-08,.06,.0072042059254939
2011-02-08,.065,.0043948794046456
2011-02-08,.07,.0080942227528875
2011-03-08,-.03,.0015701497733905
2011-03-08,-.025,.0011597423849398
2011-03-08,-.02,.0020656785284758
2011-03-08,-.015,.0037289956272154
2011-03-08,-.01,.0068213119558279
2011-03-08,-.005,.0126877601118377
2011-03-08,0,.0235409403696842
2011-03-08,.005,.0426845123481257
2011-03-08,.01,.07315124768344
2011-03-08,.015,.1129674424905722
2011-03-08,.02,.1488228212846061
2011-03-08,.025,.1603911137696842
2011-03-08,.03,.140479060768767
2011-03-08,.035,.1032981909355294
2011-03-08,.04,.0672408410817089
2011-03-08,.045,.0407708664425868
2011-03-08,.05,.0239142831254368
2011-03-08,.055,.0139012104901653
2011-03-08,.06,.0081219141097558
2011-03-08,.065,.0048061743105512
2011-03-08,.07,.0078757424076994
2011-04-06,-.03,.0026147867649235
2011-04-06,-.025,.001338108141015
2011-04-06,-.02,.0021062328070436
2011-04-06,-.015,.0033915408203662
2011-04-06,-.01,.0056132082409762
2011-04-06,-.005,.0097045619558413
2011-04-06,0,.0172980047752177
2011-04-06,.005,.0315687720912163
2011-04-06,.01,.0577421098364814
2011-04-06,.015,.10068062982028
2011-04-06,.02,.1527414984685884
2011-04-06,.025,.1807307369158855
2011-04-06,.03,.1587492978168877
2011-04-06,.035,.1096980562198784
2011-04-06,.04,.0665381712969779
2011-04-06,.045,.0386449733044671
2011-04-06,.05,.0225175764310225
2011-04-06,.055,.013425548471246
2011-04-06,.06,.0082436708793652
