date,support,frequency
2009-10-05,-.03,
2009-10-05,-.025,
2009-10-05,-.02,
2009-10-05,-.015,
2009-10-05,-.01,
2009-10-05,-.005,
2009-10-05,0,
2009-10-05,.005,
2009-10-05,.01,
2009-10-05,.015,
2009-10-05,.02,
2009-10-05,.025,
2009-10-05,.03,
2009-10-05,.035,
2009-10-05,.04,
2009-10-05,.045,
2009-10-05,.05,
2009-10-05,.055,
2009-10-05,.06,
2009-10-05,.065,
2009-10-05,.07,
2009-11-02,-.03,.003876412214907
2009-11-02,-.025,.0012764663174475
2009-11-02,-.02,.0017876208056257
2009-11-02,-.015,.0025644190709495
2009-11-02,-.01,.0037937274539
2009-11-02,-.005,.0059580521876135
2009-11-02,0,.009815485163834
2009-11-02,.005,.0171327832731466
2009-11-02,.01,.0319546460402716
2009-11-02,.015,.0633020692298496
2009-11-02,.02,.124939669633818
2009-11-02,.025,.2014736394031262
2009-11-02,.03,.2058987151130435
2009-11-02,.035,.1353280346517271
2009-11-02,.04,.0741260007908901
2009-11-02,.045,.0406794102897296
2009-11-02,.05,.0236643559316709
2009-11-02,.055,.0146592266432256
2009-11-02,.06,.0095918473302781
2009-11-02,.065,.0065676864482046
2009-11-02,.07,.0216097320067412
2009-12-01,-.03,.0050192520675909
2009-12-01,-.025,.0013782535341108
2009-12-01,-.02,.001856754374683
2009-12-01,-.015,.0025599251289034
2009-12-01,-.01,.0036364792187462
2009-12-01,-.005,.0054987272422616
2009-12-01,0,.0087255972756581
2009-12-01,.005,.0147146783274945
2009-12-01,.01,.0267602931026617
2009-12-01,.015,.0529318977585157
2009-12-01,.02,.1098628838981691
2009-12-01,.025,.1985917689925814
2009-12-01,.03,.2231591680034986
2009-12-01,.035,.1465105478281241
2009-12-01,.04,.0769825081279199
2009-12-01,.045,.0411201179567895
2009-12-01,.05,.0237558934058796
2009-12-01,.055,.0148113996776016
2009-12-01,.06,.0098303970770825
2009-12-01,.065,.0068571697088005
2009-12-01,.07,.0254362872929272
2010-01-04,-.03,.0050880848316245
2010-01-04,-.025,.0011736237934645
2010-01-04,-.02,.0015295713905917
2010-01-04,-.015,.0020354172286081
2010-01-04,-.01,.0027829644515983
2010-01-04,-.005,.0040652807067687
2010-01-04,0,.0062180785055562
2010-01-04,.005,.0100970056679936
2010-01-04,.01,.0177413123429433
2010-01-04,.015,.0345344398759336
2010-01-04,.02,.0752857856163568
2010-01-04,.025,.1670328781079276
2010-01-04,.03,.2554747538171789
2010-01-04,.035,.1910108098541965
2010-01-04,.04,.0943741708955408
2010-01-04,.045,.0463934997451719
2010-01-04,.05,.0253994881760093
2010-01-04,.055,.0153823086005406
2010-01-04,.06,.0100733094671971
2010-01-04,.065,.0069996552826147
2010-01-04,.07,.0273075616421833
2010-02-01,-.03,.0053902955991832
2010-02-01,-.025,.001395883086144
2010-02-01,-.02,.0018842983889366
2010-02-01,-.015,.0026169798150613
2010-02-01,-.01,.0037722292355381
2010-02-01,-.005,.0058228810167665
2010-02-01,0,.0095183872802256
2010-02-01,.005,.016716197062874
2010-02-01,.01,.0319606302916241
2010-02-01,.015,.066033742494574
2010-02-01,.02,.1340535476041008
2010-02-01,.025,.2043438140900867
2010-02-01,.03,.1848874322406364
2010-02-01,.035,.1150710026021497
2010-02-01,.04,.0658400662948225
2010-02-01,.045,.0395204845807482
2010-02-01,.05,.0254469502011555
2010-02-01,.055,.017434102696457
2010-02-01,.06,.0125561452192204
2010-02-01,.065,.0094084850141452
2010-02-01,.07,.0463264451855503
2010-03-01,-.03,.0059685628507968
2010-03-01,-.025,.0016137087143056
2010-03-01,-.02,.0022100539001299
2010-03-01,-.015,.0031244392748387
2010-03-01,-.01,.0046053957842405
2010-03-01,-.005,.0072964350891567
2010-03-01,0,.0123236916290471
2010-03-01,.005,.0225221851923752
2010-03-01,.01,.0448832435583285
2010-03-01,.015,.0940175970097114
2010-03-01,.02,.1736526116067958
2010-03-01,.025,.2079771127031203
2010-03-01,.03,.1512611242576779
2010-03-01,.035,.0879062068646355
2010-03-01,.04,.051095679166962
2010-03-01,.045,.0317214651728593
2010-03-01,.05,.0210722243975185
2010-03-01,.055,.0148071209700893
2010-03-01,.06,.0108803577009541
2010-03-01,.065,.0082841308847085
2010-03-01,.07,.0427766532717486
2010-04-01,-.03,.0061925169390825
2010-04-01,-.025,.0014300403161031
2010-04-01,-.02,.0018608871311465
2010-04-01,-.015,.0024716951961859
2010-04-01,-.01,.0033717024283077
2010-04-01,-.005,.0049077897386178
2010-04-01,0,.0074786303086562
2010-04-01,.005,.0120998056422012
2010-04-01,.01,.0212003293978914
2010-04-01,.015,.0412278922754085
2010-04-01,.02,.0898027394636186
2010-04-01,.025,.1941515281599696
2010-04-01,.03,.2661898073753395
2010-04-01,.035,.1713787461786071
2010-04-01,.04,.0774333709999111
2010-04-01,.045,.0365317140976455
2010-04-01,.05,.0195100945530726
2010-04-01,.055,.01158982461904
2010-04-01,.06,.0074638733839149
2010-04-01,.065,.005108797757828
2010-04-01,.07,.0185982140374527
2010-05-03,-.03,.0057616196670894
2010-05-03,-.025,.0012967957759833
2010-05-03,-.02,.0016697665025069
2010-05-03,-.015,.0021883505737717
2010-05-03,-.01,.0029339094931525
2010-05-03,-.005,.0041843067102092
2010-05-03,0,.0062097854600483
2010-05-03,.005,.0097031803918511
2010-05-03,.01,.0162363030446081
2010-05-03,.015,.0297922454653804
2010-05-03,.02,.0615242250745483
2010-05-03,.025,.1398691345251528
2010-05-03,.03,.2631083978383168
2010-05-03,.035,.2363367991258974
2010-05-03,.04,.1098338343530216
2010-05-03,.045,.0465602352873577
2010-05-03,.05,.0224615866610535
2010-05-03,.055,.012341405480674
2010-05-03,.06,.0074886001622692
2010-05-03,.065,.0048919817001345
2010-05-03,.07,.0156075367069733
2010-06-01,-.03,.0071192168901243
2010-06-01,-.025,.0014966432648504
2010-06-01,-.02,.0019194339613292
2010-06-01,-.015,.0025108362955977
2010-06-01,-.01,.0033705949342138
2010-06-01,-.005,.0048417272551528
2010-06-01,0,.0072828959394453
2010-06-01,.005,.0116484830569007
2010-06-01,.01,.0202646631155193
2010-06-01,.015,.0395803155227395
2010-06-01,.02,.0890280606139405
2010-06-01,.025,.2067029704279044
2010-06-01,.03,.288839024365518
2010-06-01,.035,.1668652055717648
2010-06-01,.04,.0677146732028017
2010-06-01,.045,.0303291982457304
2010-06-01,.05,.0158435442810397
2010-06-01,.055,.0093288973714326
2010-06-01,.06,.0059924488458914
2010-06-01,.065,.004104333431745
2010-06-01,.07,.0152168334063584
2010-07-01,-.03,.0073099862530336
2010-07-01,-.025,.0016053609737896
2010-07-01,-.02,.0020887869613723
2010-07-01,-.015,.002779936691542
2010-07-01,-.01,.0038120817971607
2010-07-01,-.005,.0056160639740302
2010-07-01,0,.0087258451772225
2010-07-01,.005,.0145673512602336
2010-07-01,.01,.0268512030081764
2010-07-01,.015,.0565023752209361
2010-07-01,.02,.1345047184323717
2010-07-01,.025,.2692398860827289
2010-07-01,.03,.2438630841937683
2010-07-01,.035,.1098528695107294
2010-07-01,.04,.0461542341918014
2010-07-01,.045,.0225001121163456
2010-07-01,.05,.0125873066856174
2010-07-01,.055,.0077950416738363
2010-07-01,.06,.0051987379394729
2010-07-01,.065,.0036645605858783
2010-07-01,.07,.0147804572699528
2010-08-02,-.03,.0081154178667659
2010-08-02,-.025,.0016040313644173
2010-08-02,-.02,.0020581310740141
2010-08-02,-.015,.0026987511896744
2010-08-02,-.01,.0036429285028959
2010-08-02,-.005,.0052996230536408
2010-08-02,0,.0081305656422791
2010-08-02,.005,.0134182588127203
2010-08-02,.01,.0245558660395518
2010-08-02,.015,.0519839584753634
2010-08-02,.02,.1291291793524172
2010-08-02,.025,.281664878223173
2010-08-02,.03,.2580409892067778
2010-08-02,.035,.1072458296611119
2010-08-02,.04,.0425062239997098
2010-08-02,.045,.0201984597836602
2010-08-02,.05,.0111938583102643
2010-08-02,.055,.006920479684178
2010-08-02,.06,.00462592670891
2010-08-02,.065,.0032750870572483
2010-08-02,.07,.0136915559912264
2010-09-01,-.03,.0095531283552151
2010-09-01,-.025,.0019261519496154
2010-09-01,-.02,.0024889613509878
2010-09-01,-.015,.0032918581231002
2010-09-01,-.01,.0044918920850138
2010-09-01,-.005,.0066146933550687
2010-09-01,0,.0103213728176381
2010-09-01,.005,.0174620049773402
2010-09-01,.01,.0331906785770428
2010-09-01,.015,.0741835312111766
2010-09-01,.02,.1881632985996972
2010-09-01,.025,.3195215097282584
2010-09-01,.03,.1906576118256982
2010-09-01,.035,.0684100684199747
2010-09-01,.04,.0277944352822606
2010-09-01,.045,.0137021884723595
2010-09-01,.05,.0077910817796379
2010-09-01,.055,.0048959458832148
2010-09-01,.06,.0033059501425427
2010-09-01,.065,.002355009190619
2010-09-01,.07,.0098786278735383
2010-10-01,-.03,.0078735494613593
2010-10-01,-.025,.0016765741668719
2010-10-01,-.02,.0022072183776133
2010-10-01,-.015,.0029941103313671
2010-10-01,-.01,.0042310285407809
2010-10-01,-.005,.0065168930020123
2010-10-01,0,.0107950645431555
2010-10-01,.005,.0197714781227239
2010-10-01,.01,.041523745343454
2010-10-01,.015,.10131990227307
2010-10-01,.02,.233353962182993
2010-10-01,.025,.2716880532863603
2010-10-01,.03,.1412154542425149
2010-10-01,.035,.0610374005131208
2010-10-01,.04,.0300556749962786
2010-10-01,.045,.0170531553270755
2010-10-01,.05,.0107569314303783
2010-10-01,.055,.0073244015174201
2010-10-01,.06,.005275536113984
2010-10-01,.065,.0039646894384705
2010-10-01,.07,.0193651767889957
2010-11-01,-.03,.0061750304063431
2010-11-01,-.025,.0027635650102209
2010-11-01,-.02,.0041058834580087
2010-11-01,-.015,.0061693002914753
2010-11-01,-.01,.0093789414387212
2010-11-01,-.005,.0144941060056064
2010-11-01,0,.0224788365898359
2010-11-01,.005,.0346654193102299
2010-11-01,.01,.0523418110002706
2010-11-01,.015,.0755647090753072
2010-11-01,.02,.1010181834032521
2010-11-01,.025,.1207673158278495
2010-11-01,.03,.1258570256019611
2010-11-01,.035,.1139256071683275
2010-11-01,.04,.0914303928307065
2010-11-01,.045,.0673155620827501
2010-11-01,.05,.0470528599880078
2010-11-01,.055,.0320706283459459
2010-11-01,.06,.0216991125162827
2010-11-01,.065,.0147328048945932
2010-11-01,.07,.0359929047543045
2010-12-01,-.03,.0080740372627383
2010-12-01,-.025,.0030342495570198
2010-12-01,-.02,.004302523492208
2010-12-01,-.015,.006179363857609
2010-12-01,-.01,.0090025104898818
2010-12-01,-.005,.0134118116160627
2010-12-01,0,.0201962436399324
2010-12-01,.005,.0305772938878852
2010-12-01,.01,.0460562130890952
2010-12-01,.015,.0677138932912553
2010-12-01,.02,.0942424509277347
2010-12-01,.025,.119100706553522
2010-12-01,.03,.1310634765996026
2010-12-01,.035,.1228775318291199
2010-12-01,.04,.0993891387370793
2010-12-01,.045,.0721479024958895
2010-12-01,.05,.0491831033204221
2010-12-01,.055,.0326375680655563
2010-12-01,.06,.0215729306174305
2010-12-01,.065,.0143857739289283
2010-12-01,.07,.0348512767410273
2011-01-03,-.03,.0080784662694413
2011-01-03,-.025,.0030453620505461
2011-01-03,-.02,.0043159248873419
2011-01-03,-.015,.0061912029541393
2011-01-03,-.01,.0090016576014321
2011-01-03,-.005,.013368483703779
2011-01-03,0,.0200466794741466
2011-01-03,.005,.0301924292580798
2011-01-03,.01,.045207915993229
2011-01-03,.015,.066095071698742
2011-01-03,.02,.0916894145925013
2011-01-03,.025,.1160966970072054
2011-01-03,.03,.128938449788399
2011-01-03,.035,.1227748909440295
2011-01-03,.04,.1010713498374611
2011-01-03,.045,.0744921771864856
2011-01-03,.05,.0513155957979893
2011-01-03,.055,.0342473159320983
2011-01-03,.06,.0226803902255684
2011-01-03,.065,.0151129271279972
2011-01-03,.07,.0360375976693876
2011-02-01,-.03,.0078337094523916
2011-02-01,-.025,.0032217697144222
2011-02-01,-.02,.0046207726707797
2011-02-01,-.015,.0066707238878854
2011-02-01,-.01,.0096930578107262
2011-02-01,-.005,.0142455164724373
2011-02-01,0,.0209429139741905
2011-02-01,.005,.0306173655055086
2011-02-01,.01,.044104261679118
2011-02-01,.015,.0617527881601689
2011-02-01,.02,.0824678729393147
2011-02-01,.025,.1025941194538858
2011-02-01,.03,.1159937504880537
2011-02-01,.035,.1169510509433977
2011-02-01,.04,.1045726309619655
2011-02-01,.045,.0838234789769262
2011-02-01,.05,.0616349247581242
2011-02-01,.055,.0427117791009602
2011-02-01,.06,.028582589826488
2011-02-01,.065,.0188178918739034
2011-02-01,.07,.0381470313493522
2011-03-01,-.03,.0054269392447933
2011-03-01,-.025,.0026076139173354
2011-03-01,-.02,.0039208967843071
2011-03-01,-.015,.0059321542448673
2011-03-01,-.01,.0090244815413478
2011-03-01,-.005,.0138402051781792
2011-03-01,0,.0211398672378355
2011-03-01,.005,.0318813600602924
2011-03-01,.01,.0468756586117817
2011-03-01,.015,.0660407440891277
2011-03-01,.02,.0872597890554204
2011-03-01,.025,.1057018733010078
2011-03-01,.03,.1152387090182682
2011-03-01,.035,.1121858855587793
2011-03-01,.04,.0981029469547414
2011-03-01,.045,.0784197679160833
2011-03-01,.05,.0586317004859489
2011-03-01,.055,.0419307510158191
2011-03-01,.06,.0292168745239638
2011-03-01,.065,.0201068100233556
2011-03-01,.07,.0465149712367448
2011-04-01,-.03,.0042431506791652
2011-04-01,-.025,.0023955295138078
2011-04-01,-.02,.0037743585273449
2011-04-01,-.015,.0059549754899173
2011-04-01,-.01,.0093865714271922
2011-04-01,-.005,.0147654769958621
2011-04-01,0,.0228833033396894
2011-04-01,.005,.0345648897694371
2011-04-01,.01,.0501853427300019
2011-04-01,.015,.068899786124384
2011-04-01,.02,.0879210785929978
2011-04-01,.025,.1027441885319191
2011-04-01,.03,.1089914227191099
2011-04-01,.035,.1049373463193257
2011-04-01,.04,.0924808701602438
2011-04-01,.045,.0756952894708854
2011-04-01,.05,.0585235233649815
2011-04-01,.055,.0434391492007869
2011-04-01,.06,.0313834566361269
2011-04-01,.065,.0223085791390984
2011-04-01,.07,.0545217112677228
2011-05-02,-.03,.0038972796556827
2011-05-02,-.025,.0019566967292926
2011-05-02,-.02,.0030052611351166
2011-05-02,-.015,.004661395464314
2011-05-02,-.01,.007301237149194
2011-05-02,-.005,.0115902922468215
2011-05-02,0,.0184073366432935
2011-05-02,.005,.0289658240404965
